Washington This Week;Political;0;2016-05-02 04:00:00;165;Cable;CSPAN
In Depth;Discussion;0;2016-05-02 04:00:00;180;Cable;CSPAN2
Jentezen Franklin;Religious;0;2016-05-02 04:00:00;30;Broadcast;DSTAR
The Phil Silvers Show;Sitcom;0;2016-05-02 04:00:00;30;Broadcast;Decades
Ghost Asylum;Documentary;0;2016-05-02 04:00:00;60;Cable;DEST
DC Cupcakes;Reality TV;0;2016-05-02 04:00:00;30;Cable;DFC
Sex Sent Me to the Slammer;Docu-Series;0;2016-05-02 04:00:00;60;Cable;DFL
Austin & Ally;Children;0;2016-05-02 04:00:00;30;Cable;DISN
Little Einsteins;Children;0;2016-05-02 04:00:00;30;Cable;DISNJR
Star vs. the Forces of Evil;Animated;0;2016-05-02 04:00:00;26;Cable;DISNXD
Barnwood Builders;Home;0;2016-05-02 04:00:00;60;Cable;DIY
#RichKids of Beverly Hills;Reality TV;0;2016-05-02 04:00:00;60;Cable;E!
Lenny Cooke;Documentary;0;2016-05-02 04:00:00;120;Cable;ESPNC
SportsCenter Top Ten;Sports, Miscellaneous;0;2016-05-02 04:00:00;30;Cable;ESPNN
Baseball;Sports, Baseball;0;2016-05-02 04:00:00;180;Cable;ESPNU
ESPN FC;Sports, Soccer;0;2016-05-02 04:00:00;60;Cable;ESPN2
The Getaway;Travel;0;2016-05-02 04:00:00;60;Cable;ESQTV
Fashion Must Haves;Paid Program;0;2016-05-02 04:00:00;60;Cable;EVINE
Sunday Mass;Religious;0;2016-05-02 04:00:00;70;Cable;EWTN
Da Vinci's Inquest;Drama;0;2016-05-02 04:00:00;60;Broadcast;FAMUSA
The Monkees;Sitcom;0;2016-05-02 04:00:00;30;Broadcast;FAMN
Spring Baking Championship;Food;0;2016-05-02 04:00:00;60;Cable;FOOD
Paid Program;Paid Program;0;2016-05-02 04:00:00;60;Cable;FOXB
La Ultima Palabra;Sports, News, Soccer;0;2016-05-02 04:00:00;60;Cable;FOXD
The Man Who Killed Usama Bin Laden;Political;0;2016-05-02 04:00:00;60;Cable;FNC
NASCAR Victory Lane;Sports, Auto Racing;0;2016-05-02 04:00:00;30;Cable;FS1
Poker;Sports, Cards;0;2016-05-02 04:00:00;60;Cable;FSM
Joel Osteen;Religious, Paid Program;0;2016-05-02 04:00:00;30;Cable;FREE
Archer;Animated;0;2016-05-02 04:00:00;30;Cable;FXX
Flipping Vegas;Reality TV;0;2016-05-02 04:00:00;60;Cable;FYI
Flea Market Flip;Home;0;2016-05-02 04:00:00;30;Cable;GAC
Los Super Perez;Drama;0;2016-05-02 04:00:00;30;Broadcast;GALA
Baggage;Game Shows;0;2016-05-02 04:00:00;30;Cable;GSN
Soccer;Sports, Soccer;0;2016-05-02 04:00:00;120;Cable;GOLTV
NYPD Blue;Drama;0;2016-05-02 04:00:00;60;Broadcast;H&I
The Golden Girls;Sitcom;0;2016-05-02 04:00:00;30;Cable;HALL
Game of Thrones;Drama;0;2016-05-02 04:00:00;60;Cable;HBOL
Caribbean Life;Home;0;2016-05-02 04:00:00;30;Cable;HGTV
Forensic Files;Docu-Series;0;2016-05-02 04:00:00;30;Cable;HLN
Michael Anthony Jewelry;Shopping;0;2016-05-02 04:00:00;60;Broadcast;HSN
Movie;Movies, Western;3;2016-05-02 04:00:00;180;Cable;INSP
Dateline NBC;News Magazine;0;2016-05-02 04:00:00;120;Cable;ID
Flashpoint;Drama;0;2016-05-02 04:00:00;60;Broadcast;ION
Bring It!;Reality TV;0;2016-05-02 04:00:00;60;Cable;LIFERW
Movie;Movies, Thriller;0;2016-05-02 04:00:00;120;Cable;LMN
Saturday Night Live;Comedy;0;2016-05-02 04:00:00;60;Cable;LOGO
Modern Marvels;Science;0;2016-05-02 04:00:00;60;;MHC
Local Programming;TBA;0;2016-05-02 04:00:00;360;Broadcast;MNT
Boxing Classics;Sports, Boxing;0;2016-05-02 04:00:00;120;Cable;MSG
UFC Unleashed;Sports, Martial Arts;0;2016-05-02 04:00:00;60;Cable;MSG+
Lockup;Documentary;0;2016-05-02 04:00:00;60;Cable;MSNBC
The Wayans Brothers;Sitcom;0;2016-05-02 04:00:00;30;Cable;MTV2
Live From Daryl's House;Music;0;2016-05-02 04:00:00;60;Cable;MTVL
Movie;Movies, Christmas, Comedy;2;2016-05-02 04:00:00;120;Cable;MTV
NASA Television Video File;Discussion;0;2016-05-02 04:00:00;60;Broadcast;NASA1
